transaction_id,date,time,day_of_week,fraud_type,fraud_lure,amount_inr,upi_app,transaction_type,sender_upi_id,receiver_upi_id,linked_bank,victim_state,victim_age_group,victim_gender,victim_occupation,device_type,first_time_upi_user,pin_otp_shared,report_delay,reported_to_cybercrime_portal,recovery_status,is_fraud
TXN933251567391,14-01-2025,08:47:17,Tuesday,Vishing,Prize/Lottery Win,700,PhonePe,P2P,pay7924@ibl,txn3547@oksbi,Axis Bank,Andhra Pradesh,56-65,Male,Salaried Employee,Android,Yes,No,6-24 hours,Yes,Not Recovered,1
TXN517045625552,10-03-2024,08:24:06,Sunday,Vishing,Job Offer/Part-time Work,3100,BHIM,P2P,txn8428@ibl,pay7065@ibl,Canara Bank,West Bengal,46-55,Male,Retired,Android,Yes,Yes,6-24 hours,Yes,Not Recovered,1
TXN726820024292,01-11-2023,17:44:59,Wednesday,OTP Sharing,Electricity Bill Disconnection,1800,PhonePe,Collect Request,txn4483@paytm,acct8517@okicici,Axis Bank,Telangana,46-55,Male,Retired,Android,Yes,Yes,1-3 days,Yes,Not Recovered,1
TXN615379416985,28-12-2023,08:47:35,Thursday,Fake Collect Request,KYC Update Required,17000,Amazon Pay,P2M,mb5119@apl,user2876@apl,SBI,Haryana,26-35,Male,Student,Android,Yes,No,1-3 days,Yes,Not Recovered,1
TXN757132452561,30-12-2023,18:21:07,Saturday,Vishing,Impersonation of Known Person,500,Google Pay,P2P,txn9005@okaxis,user6947@ybl,Yes Bank,Kerala,56-65,Male,Student,Android,Yes,No,6-24 hours,No,Not Recovered,1
TXN442364508902,02-12-2023,06:56:36,Saturday,Remote Access Scam,Impersonation of Known Person,1500,PhonePe,P2M,acct7118@paytm,mb8397@okhdfcbank,SBI,West Bengal,66+,Male,Student,Android,No,No,3-7 days,No,Fully Recovered,1
TXN960037124392,10-12-2023,10:21:01,Sunday,Fake Collect Request,Refund Processing,2900,PhonePe,P2P,acct7669@oksbi,user2588@axl,Axis Bank,Karnataka,46-55,Male,Self-employed/Business,Android,Yes,No,6-24 hours,No,Partially Recovered,1
TXN281403868608,28-03-2024,13:29:55,Thursday,OTP Sharing,Job Offer/Part-time Work,5800,PhonePe,P2P,acct8956@paytm,pay7570@okaxis,SBI,Karnataka,46-55,Female,Self-employed/Business,Android,No,Yes,1-3 days,No,Not Recovered,1
TXN683482989002,16-09-2023,12:24:16,Saturday,Social Engineering,Prize/Lottery Win,14650,Google Pay,P2M,pay1931@apl,user4044@okhdfcbank,HDFC Bank,Rajasthan,66+,Female,Student,Feature Phone,Yes,Yes,6-24 hours,Yes,Partially Recovered,1
TXN108901504899,30-11-2024,07:55:15,Saturday,QR Code Swap,Job Offer/Part-time Work,87350,PhonePe,P2M,acct2638@okhdfcbank,mb4492@apl,Other,Maharashtra,36-45,Female,Homemaker,Android,Yes,No,1-6 hours,No,Not Recovered,1
